id,userid,universityid,departmentid,degree,startdate,enddate
15,20930187,1,1,1,2014-09-04,0000-00-00
29,20727452,1,2,2,0000-00-00,0000-00-00
32,20727711,4,3,1,2014-09-20,0000-00-00
33,20930077,1,1,1,2014-09-04,0000-00-00
34,20930077,1,4,1,2014-09-04,0000-00-00
39,20930135,1,1,1,2014-09-22,0000-00-00
40,20829545,5,5,1,2014-09-01,2014-06-01
42,20800918,6,4,1,2014-09-15,0000-00-00
47,20727447,1,4,1,2013-09-15,2016-06-15
48,21030899,1,1,1,2015-02-09,0000-00-00
50,20929932,7,4,1,2015-09-07,2016-07-11
51,20930082,8,6,1,2015-07-22,0000-00-00
52,20930116,1,1,1,2015-01-01,2017-01-01
53,21101691,5,1,1,2015-09-05,0000-00-00
54,20929817,1,7,1,2015-10-05,2020-01-07
55,20829339,2,8,1,2015-09-03,2017-07-22
56,20829339,9,4,1,2015-02-02,2017-05-16
57,20727452,1,1,1,2012-09-16,2015-06-24
59,20829421,1,1,2,2015-10-01,2021-07-29
62,21130937,1,1,1,2016-02-21,0000-00-00
63,20829487,2,11,1,2015-09-07,2017-01-06
65,21030704,5,10,1,2015-09-01,2018-06-30
72,N14216535,2,10,1,2011-02-07,2014-01-27
74,N14216535,3,10,2,2014-02-10,0000-00-00
78,20727691,13,1,1,2012-09-11,0000-00-00
80,20970651,7,1,1,2011-09-06,2014-08-28
81,20970651,7,1,2,2014-08-29,0000-00-00
82,20929984,19,1,1,2014-12-15,2016-08-08
87,20970821,20,13,1,0000-00-00,0000-00-00
89,20727414,30,14,1,2012-09-23,2015-02-10
90,21232504,31,1,1,2016-09-05,2018-09-07
91,21232705,1,1,1,2016-10-03,0000-00-00
92,21232465,32,15,1,2017-03-15,2019-07-25
93,21131163,30,17,1,2016-09-26,2018-01-05
96,N16119688,34,20,1,0000-00-00,0000-00-00
100,20829564,41,21,1,2016-09-30,2018-06-10
101,21030718,41,1,1,2016-10-04,2019-01-24
113,N16116250,1,23,1,0000-00-00,0000-00-00
115,N14114299,21,24,1,2003-09-08,2006-09-30
119,21131072,31,1,1,2014-09-01,2017-09-20
121,21131001,1,25,1,2016-02-22,2016-06-02
122,N16133358,34,26,1,0000-00-00,0000-00-00
129,N14211761,1,23,1,2016-04-04,2016-10-14
138,20829559,3,1,2,2020-10-06,0000-00-00
143,20929984,19,1,2,2016-09-01,2021-01-19
146,21030885,3,4,1,2016-09-01,2017-02-01
153,20929946,2,29,1,2015-09-01,2017-02-01
154,21030775,43,30,1,2016-09-19,0000-00-00
155,20727672,10,4,1,2013-09-02,2015-06-26
156,20727433,44,31,1,2017-02-13,0000-00-00
157,20829358,1,1,1,2013-09-02,2016-06-24
159,N14123686,7,1,2,2016-10-03,0000-00-00
160,21130975,3,32,1,2016-10-03,0000-00-00
163,21131196,46,33,1,2017-01-22,2020-01-10
165,N16112179,47,4,1,2011-09-06,2013-09-04
167,20829377,1,1,1,2016-09-25,0000-00-00
169,21030962,48,1,2,2017-09-01,0000-00-00
171,20727414,50,21,1,2017-09-01,2019-07-01
172,N17136814,3,9,1,2016-02-01,2019-02-01
173,20930039,51,4,1,2015-10-05,0000-00-00
189,21030742,3,4,1,2017-10-08,0000-00-00
190,20929888,40,1,2,2018-01-26,0000-00-00
191,21030737,3,34,1,2018-02-07,0000-00-00
193,21131072,53,35,2,2018-03-07,0000-00-00
194,21030847,3,4,1,2017-10-02,0000-00-00
195,21131202,47,31,1,2017-09-01,0000-00-00
196,20829583,57,4,1,2018-02-18,0000-00-00
197,21030943,51,4,1,2018-02-12,0000-00-00
198,20829492,58,36,1,2018-02-01,0000-00-00
202,21232336,1,37,1,2018-10-01,0000-00-00
203,21232498,60,38,1,2018-09-17,2020-08-04
204,20727648,1,37,2,2018-09-21,0000-00-00
205,20727428,7,1,1,2011-09-04,2014-04-17
206,21332412,33,42,1,2018-10-01,2020-09-30
207,21030871,1,37,1,2018-10-01,2021-06-01
208,21232614,40,3,1,2018-09-01,2020-01-01
209,20929998,3,34,1,2018-08-02,0000-00-00
210,21131106,3,39,1,2018-10-07,0000-00-00
212,20930096,64,1,1,2018-09-24,0000-00-00
213,21232504,31,1,2,2018-09-24,2020-06-01
215,21482352,3,39,1,2018-10-01,0000-00-00
217,21131307,65,15,1,2018-10-23,0000-00-00
218,20930025,66,40,1,2019-04-23,0000-00-00
222,21232432,1,1,1,2019-02-12,2021-02-16
223,21232589,1,41,1,2019-02-11,0000-00-00
225,N18231600,34,9,1,2000-09-03,2004-03-03
226,21131221,51,4,1,0000-00-00,0000-00-00
228,21332368,8,4,1,0000-00-00,0000-00-00
229,20727524,41,4,1,2014-01-01,2015-06-01
230,N17136814,3,9,2,2019-03-01,0000-00-00
240,21401386,66,40,1,2019-10-01,0000-00-00
241,21232537,34,1,1,2019-09-23,0000-00-00
242,21693101,72,43,1,2019-09-23,0000-00-00
243,21531116,33,42,1,2019-10-01,2022-02-20
244,N19137900,73,44,1,2014-09-07,2016-10-26
267,21430953,72,4,1,2019-09-23,0000-00-00
268,21232628,77,1,1,2019-08-11,0000-00-00
270,21232369,3,39,1,2019-07-31,2023-01-15
271,21430929,34,1,1,2020-01-20,0000-00-00
273,21131144,30,47,1,2020-02-17,0000-00-00
276,21481886,79,48,2,2020-03-02,0000-00-00
278,N19231217,10,4,1,2018-02-19,2019-06-14
279,21030995,47,49,1,0000-00-00,0000-00-00
280,20929984,78,24,2,2019-02-25,2020-01-09
281,N18231303,3,26,1,0000-00-00,0000-00-00
283,N14210779,3,50,1,2019-02-03,2020-06-30
287,21332206,2,1,1,2020-10-18,0000-00-00
288,21130961,80,1,1,2019-09-10,0000-00-00
289,21531044,66,40,1,2020-10-01,0000-00-00
290,21693225,81,28,1,2020-09-21,0000-00-00
998,21130918,82,53,1,2020-10-04,0000-00-00
999,21232504,48,54,2,2019-06-03,0000-00-00
1000,21031021,60,55,2,2020-09-14,0000-00-00
1001,21431155,84,56,1,2020-10-01,2022-09-01
1002,21531121,13,57,1,2020-10-05,0000-00-00
1005,21693569,34,8,1,2020-10-01,2022-02-01
1007,21332368,3,47,1,0000-00-00,0000-00-00
1009,N20143221,85,1,1,0000-00-00,2019-10-25
1010,N20140851,34,1,1,2015-02-02,2018-07-09
1011,N20137890,3,4,1,2017-10-09,2019-02-04
1013,N20143908,87,60,1,2017-08-27,2019-05-12
1014,N20143908,2,1,1,0000-00-00,2011-10-06
1020,N20139530,1,62,1,0000-00-00,0000-00-00
1022,21430895,72,43,1,0000-00-00,0000-00-00
1024,21531504,8,1,1,2021-02-26,0000-00-00
1028,N20236072,3,22,1,2021-02-15,0000-00-00
1029,21531427,88,1,1,0000-00-00,0000-00-00
1031,N20234781,3,12,1,2021-02-26,0000-00-00
1032,21431323,32,63,1,2021-09-13,0000-00-00
1033,21431232,3,1,1,0000-00-00,0000-00-00
1034,21531025,41,1,1,2021-09-14,0000-00-00
1035,21731626,3,1,1,2021-09-27,2023-12-29
1036,21631593,3,1,1,2021-09-27,2023-12-29
1038,21531336,1,60,1,2021-10-08,0000-00-00
1039,21531154,89,1,1,2022-02-01,0000-00-00
1040,21431083,1,64,1,2021-10-10,0000-00-00
1041,21631828,1,1,1,2022-03-07,0000-00-00
1042,21431064,1,64,1,2021-10-18,0000-00-00
1043,21732086,32,15,1,2022-09-12,0000-00-00
1044,21131254,3,4,1,2020-02-13,2021-08-03
1045,N21231981,90,65,2,2012-09-16,2017-06-11
1046,N17136606,1,1,2,0000-00-00,0000-00-00
1050,21531173,91,39,1,2022-02-20,2025-01-10
1051,20829358,92,4,1,2022-09-05,2023-09-30
1052,21731898,8,22,1,2022-07-21,0000-00-00
1053,21531369,30,24,1,0000-00-00,0000-00-00
1054,21580869,72,43,1,2022-09-19,0000-00-00
1055,21232724,7,24,1,2022-06-12,0000-00-00
1056,test_erdi,40,61,2,0000-00-00,0000-00-00
1058,21631588,2,29,1,2023-09-27,0000-00-00
1060,21631814,72,22,1,2023-10-02,2025-09-14
1062,21332464,21,11,1,2023-01-02,0000-00-00
1064,21731808,31,66,1,2022-09-15,2024-05-31
1066,21332302,3,1,1,2019-09-01,2025-05-01
1072,21030794,3,1,1,2018-09-01,2022-06-15
1074,2200469829,3,1,1,2024-09-02,0000-00-00
1076,21732029,1,37,1,2024-09-30,0000-00-00
1078,21531173,91,4,2,2025-02-17,0000-00-00
1080,2200469040,3,1,1,2020-09-14,2025-06-20
