id,title,year,semester,studentid,advisor
29,"Yazılım Geliştirme Takımlarının Bulut Üstünden Yazılım Geliştirme Eğilimlerinin İncelenmesi",20152016,2,N14118292,"Murat Caner Testik; Oumout Chouseinoglou"
30,"Talaşlı İmalat Sektöründeki Bir İşletme için Kurumsallaşma Çalışmaları",20152016,2,N13214441,"Murat Caner Testik"
31,"Et Entegre Tesisindeki Makine ve Ekipman Tasarımında Poka-Yoke Yaklaşımı",20152016,2,N14117198,"Murat Caner Testik"
32,"Ekskavatör İmalatı Yapan Bir İşletmede Kalite Fonksiyon Yayılımı ve Kök Neden Analizi Uygulaması",20152016,2,N14119058,"Murat Caner Testik"
33,"3 Boyutlu Yazıcıların Sarf Malzemelerinin Talep Tahmininin Yapılması",20152016,2,N14114165,"Murat Caner Testik"
34,"Toplam Kalite Yönetiminin Belediyelerde Uygulaması",20152016,2,N14111765,"Murat Caner Testik"
35,"Açılması Planlanan İşletmeye Ait Yatırım Maliyet Analizi",20152016,2,N14113961,"Murat Caner Testik"
36,"Havacılık Endüstrisi Parça Üretim Tezgâhında SMED Yaklaşımı",20162017,1,N14215266,"Murat Caner Testik"
37,"Türkiye’deki Biyodizel Üretim Durumunun İncelenmesi ve Biyodizel Kapasite Kriteri",20162017,1,N14210614,"Murat Caner Testik"
38,"Asfalt Plentlerinde Fine-Kinney Metoduyla Risk Analizi Çalışması",20162017,1,N14118330,"Murat Caner Testik"
39,"Otomotiv Sektörü Ağır Ticari Araçlar Talep Tahmini",20162017,1,N14110013,"Murat Caner Testik"
40,"Kalite Fonksiyon Yayılımının E-Ticaret Web Sitesi Geliştirme Süreçlerine Uyarlanması",20162017,2,N14212755,"Murat Caner Testik"
41,"Yazılım Testinin Yazılım Geliştirme Projeleri Üzerindeki Etkisi",20162017,2,N14316944,"Murat Caner Testik"
42,"FMEA – Otobüs İskeleti Tasarım FMEA Uygulaması",20162017,2,N14219929,"Murat Caner Testik"
43,"Dijital Kabin Yönetim Sistemi Mobil Uygulaması için Yalın Üretim Prensipleri",20162017,2,N14111447,"Murat Caner Testik"
44,"Sağlık Endüstrisinde Yalın Düşünce",20162017,2,N14110065,"Murat Caner Testik"
45,"Beyaz Eşya Sektöründe Yan Sanayi Yatırım Karar Süreçleri: Electrolux Tel Izgara Üretiminde Otomatik Hatta Geçiş Örneği",20162017,2,N14218128,"Murat Caner Testik"
46,"Özel Hastane Faturalama ve Tahsilat Sürecinde Yaşanan Zaman Kayıplarının Veri Madenciliği Yöntemleri ile Analizi",20162017,2,N14115597,"Murat Caner Testik"
47,"Açık Kaynak Kodlu ve İnternet Tabanlı Coğrafi Bilgi Sistemleri",20162017,2,N14114299,"Murat Caner Testik"
48,"Petrol Kuyularının Verimliliğinin Uzman Sistemlerle Geliştirilmesi",20162017,2,N14313100,"Murat Caner Testik"
49,"Yüksek Teknoloji Firmasında Dengeli Ölçüm Kartı ile Performans İzlenmesi",20162017,2,N14115514,"Murat Caner Testik"
50,"Teknoloji Firmaları için Tedarikçi Seçiminde Çok Kriterli Karar Verme Yöntemleri ve Uygulaması",20162017,2,N14319296,"Murat Caner Testik"
51,"Alarm İzleme Merkezi Operasyon Analizi",20162017,2,N14115970,"Murat Caner Testik"
52,"Tablet Kabin İçi Eğlence Sisteminde Kullanılabilirlik Testi",20162017,2,N14212331,"Murat Caner Testik"
53,"Elektronik Kamu Alımları Platformunda (EKAP) Eşik Değerlerin Test Otomasyonu ile Test Edilmesi",20162017,2,N14211361,"Murat Caner Testik"
54,"Türkiye İş Bankası Web Sitesi ve İşcep Uygulamasında Kişisel Bütçe Modülü",20162017,2,N15112776,"Murat Caner Testik"
55,"Web Servis Performans İyileştirme Çalışması",20162017,2,N14116854,"Oumout Chouseinoglou"
56,"Tüketime İtiraz Sayaç Muayene Bedeli ve Kazanç Optimizasyonu",20162017,2,N14212998,"Oumout Chouseinoglou"
57,"Bir Banka Yazılımı Hakkında Kullanıcı Yorumları Üzerinden Web Madenciliği ve Duygu Analizi",20162017,2,N14319225,"Oumout Chouseinoglou"
58,"Akıllı Bina Projelerinde Proje Yönetimi Metotlarının Uygulanması: Kamu Projesi Örneği",20162017,2,N15216622,"Barbaros Yet"
59,"Yüksek Hızlı Veri Transferinde Süreç Yönetimi ve Stok Yönetimi için Gerçekleştirilen Örnek Çalışma",20162017,2,N14312871,"Özlem Müge Testik"
60,"Tedarikçi Seçiminde ANP, Taguchi ve TOPSIS Yöntemleri ile Gıda Sektöründe bir Uygulama",20162017,2,N14117453,"Özlem Müge Testik"
61,"Kritik Yol Yöntemiyle Proje Yönetimi",20162017,2,N14313817,"Ceren Tuncer Şakar"
62,"Şirketteki Tüm Ekip ve Görevlerin SLA Sürelerine Uyumlu Hale Getirilerek Tesis Sürelerinin Optimum Seviyeye Çekilmesi ve Şirket Gelirinin En Üst Düzeye Çıkarılması: SLA Raporu Uygulaması",20162017,2,N14316618,"Özlem Müge Testik"
63,"Çok Katlı Yüksek Yapıların İnşaatlarında Düşey Mobilizasyonunda Kullanılan Cephe Asansörlerinin Kapasite Sorunları Ve Sebep Olduğu İşçilik Kayıplarının Hesaplanması: Ülke Proje Yönetim Ege Vadisi Lüks Konut Projesi Örneği",20162017,1,N14210964,"Murat Caner Testik"
64,"Kurumsal Kaynak Planlama Projelerinde Fayda ve Maliyet Analizi",20172018,1,N15217787,"Oumout Chouseinoglou"
65,"İş Tecrübelerinin ve İş Uygulamalarının Bilgi Yönetim Sistemi ile Kayıt Altına Alınması: Bir Vaka Çalışması",20172018,1,N14317612,"Oumout Chouseinoglou"
66,"Sacdan Yapılma Profil İmalat Süreci ve İyileştirilmesi",20172018,1,N16110246,"Oumout Chouseinoglou"
67,"Elektrik Santrallerinde SCADA Sistemleri Siber Güvenliğinin İyileştirilmesi",20172018,1,N14117786,"Oumout Chouseinoglou"
68,"Otomotiv Sektöründeki Bir Üretim Fabrikasında Tedarikçi Sevkiyat Performans Ölçüm Sisteminin İyileştirilmesi",20172018,1,N16117016,"Oumout Chouseinoglou"
69,"ITIL (Information Technologies Infrastructure Library) Uygulama Yönetim Süreçleri için Geliştirilen Bilgi Tabanlı Yönetim Sistemi (KMS) Kullanımının Performans İyileştirme Etkisinin İncelenmesi",20172018,1,N16113151,"Oumout Chouseinoglou"
70,"Rönesans Holding A.Ş. Şantiye ve Merkez Görev Yeri Türünde Olan Beyaz Yaka Çalışanlarının  İşten Çıkma ve Çıkarılma Nedenlerine Göre 360 Derece Performans Değerlendirme Yönteminin Uygulanabilirliği",20172018,1,N14210779,"Barbaros Yet"
71,"X Şirketi Lastik Kalıp Tasarım Risk Analizi",20172018,1,N15212964,"Barbaros Yet"
72,"Savunma Sanayi Projelerinde Kazanılmış Değer Yönetimi, Maliyet ve Zaman Çizelgesi Performans Endekslerinin Analizi ve Avantajları",20172018,1,N15217033,"Barbaros Yet"
73,"Bayes Ağları Yardımıyla Futbol Tahmin Modeli",20172018,1,N16110357,"Barbaros Yet"
74,"Rüzgâr Enerjisi Santrallerinde Üretim Tahmini Metodolojileri için Karar Verme Analizi & İşletmeler için Kılavuz Çalışması",20172018,1,N16110095,"Ceren Tuncer Şakar"
75,"Üretim Firmaları için Çok Kriterli Karar Verme Yöntemlerinden AHP ve TOPSIS ile Tedarikçi Seçimi",20172018,1,N14317711,"Ceren Tuncer Şakar"
76,"Aselsan Gölbaşı Yerleşkesi Yapım İşleri için İş Programı, Kaynak ve Maliyet Analizi",20172018,1,N15219394,"Ceren Tuncer Şakar"
77,"Bina İçi 4G Kapsama Simülasyonu Yayılım Modellerinde Yapısal Sınıf Değişkeni",20172018,1,N16116888,"Ceren Tuncer Şakar"
78,"DMAIC Süreçleri Metodu Uygulanarak Fünye Üretim Hatlarında Süreç İyileştirme Çalışmaları",20172018,1,N15210332,"Ceren Tuncer Şakar"
79,"Yüksek Hacimli Yüzey Monte Kart Dizgisinde SMED Yöntemi İle Üretim Değiştirme Süresinin Azaltılması",20172018,1,N15216721,"Özlem Müge Testik"
80,"İnşaat Projelerinde İnce İşler Kapsamında Alt Yüklenici Firmalardan Kalan İşlerin Tamamlanması Adına Usta ve İşçi Yönlendirmesi",20172018,1,N16118647,"Özlem Müge Testik"
81,"Toplam Kalite Yönetiminin IPTV Hizmetinde Uygulanması",20172018,1,N14117538,"Özlem Müge Testik"
82,"Endüstride Enerji Verimliliği Uygulamaları ve Elektrik Motorlarında Yüksek Verimli Rulmanlar Kullanarak Enerji Tasarrufu Yapılması",20172018,1,N16115574,"Özlem Müge Testik"
83,"Alçı İmalatı Yapan Bir İşletmenin Tahmin Yöntemleri Kullanılarak Üretim Miktarının ve Elektrik Üretiminin Belirlenmesi",20172018,1,N14115530,"Özlem Müge Testik"
84,"Sincan Biyogaz Tesisi Fizibilite Raporu",20172018,1,N16118961,"Özlem Müge Testik"
85,"İnşaat Mühendisliğinde Toplam Kalite Yönetimi",20172018,1,N16110175,"Murat Caner Testik"
86,"Yalın Üretim Uygulamalarıyla Üretim Sistemleri Süreçlerinin Geliştirilmesi",20172018,1,N16114633,"Murat Caner Testik"
87,"Çalışan Kişiliğinin Performansa Etkisinin Simülasyon İle Modellenmesi ve İncelenmesi",20172018,1,N16115522,"Murat Caner Testik"
88,"Güneş Enerji Santrallerinde Gün Öncesi Üretim Tahmin Kararlarının Optimizasyonu ve Minimal Dengesizlik Modeli",20172018,1,N14217303,"Murat Caner Testik"
89,"Yazılım Ürünleşmesinde Organizasyon Ve Ürün Parçalarının Yeniden Kullanılabilirliği",20172018,1,N14217119,"Murat Caner Testik"
90,"1.Etap Yapım Süreci Devam Eden Konut Projesi Şantiyesi Proje Yönetimi Metod Analizi – Kaba Yapı İmalatına Etki Eden Değişkenler İçin Regresyon Analizi",20172018,1,N16119688,"Murat Caner Testik"
91,"Alt Yüklenici Bir Firma İçin Toyota Üretim Sisteminin Kazanımları",20172018,1,N16118962,"Murat Caner Testik"
92,"Östenitik Paslanmaz Çeliklerin Kaynağında Parametre Optimizasyonu",20172018,1,N14211761,"Murat Caner Testik"
93,"Sistem Düşüncesi İle İş Süreçlerinin İyileştirilmesi",20172018,1,N15210491,"Murat Caner Testik"
94,"Petrol Kuyularında Üretilen Su İle Petrol Kuyusunun Ömrünün İlişkisi",20172018,1,N14317314,"Murat Caner Testik"
95,"Altı Sigma Metodolojisi İle Termal Kameraların Dedektörlerinde Kullanılan Işık Kesicilerinin İyileştirilmesi",20172018,1,N15213891,"Murat Caner Testik"
96,"Müşteri Şikayetlerinin Cart Algoritması ve Weka Programı İle Sınıflandırılması",20172018,1,N16110528,"Murat Caner Testik"
97,"ITIL Çerçevesini Kullanan Bir Bilgi Teknolojisi Organizasyonunda Sürekli Servis İyileştirme Sürecinin Devreye Alınması",20172018,1,N16116224,"Murat Caner Testik"
98,"Veri Madenciliğinde Kümeleme Analizi Ve Kamu Sektöründe Bir Uygulaması",20172018,1,N16118389,"Murat Caner Testik"
99,"Rulman Yüzey Pürüzlülük Ölçümlerinin İyileştirilmesinde Altı Sigma Yaklaşımı",20172018,1,N14219596,"Murat Caner Testik"
100,"Satınalma Departmanı Performans Yönetim Sistemi",20172018,1,N15219318,"Murat Caner Testik"
101,"Meyve Suyu Fabrikasında Tedarikçilerin Fmea Analizi İle Değerlendirilmesi",20172018,1,N16115268,"Murat Caner Testik"
102,"Yalın Altı Sigma İle Askeri Sistem Kablaj Tasarım Sürecinin İyileştirilmesi",20172018,1,N14318889,"Murat Caner Testik"
103,"Kurumsal Satış Gelirlerini Arttırmak İçin Süreç Yönetimi Ve Müşteri Odaklı Yaklaşımlar",20172018,1,N16112179,"Murat Caner Testik"
104,"Bir Savunma Sanayii Şirketinin Boyutsal Muayene Bölümünde Süreç İyileştirme Çalışmaları",20172018,1,N15218437,"Murat Caner Testik"
105,"Küçük Ve Orta Ölçekli İşletmelerde Kurumsal Kaynak Yönetimi (Erp)’Ne Geçiş Fayda/Maliyet Analizi",20172018,1,N14119109,"Murat Caner Testik"
106,"Tekstil Sektöründe Yalın Üretim",20172018,1,N14117293,"Murat Caner Testik"
107,"İzlenebilirlik Sürecinde Altı Sigma Metodolojısının Uygulanması",20172018,1,N15216610,"Murat Caner Testik"
108,"Siparişe Göre Üretim Yapan Firmalarda Yalın Üretim Sistemi İncelmesi Ve Polca Üretim Kontrol Sisteminin Uygulaması",20172018,1,N14213441,"Murat Caner Testik"
109,"CMT ve SCT Testlerinin Kutu Mukavemetine Etkisi",20172018,1,N14313249,"Murat Caner Testik"
110,"Rüzgâr Enerji Santrallerinde Verimlilik Analizleri",20172018,1,N14313730,"Murat Caner Testik"
111,"CART Analizi Yöntemi İle Verilen Fiyat Tekliflerinin Analiz Edilerek Gelen Teklif Taleplerin Bu Sonuca Göre Önceliklendirilmesi",20172018,1,N14218116,"Murat Caner Testik"
112,"Yalın Üretimin Gıda Makinaları İmalatı Yapan Firmalarda Uygulanması",20172018,1,N16116250,"Murat Caner Testik"
113,"Endüstri 4.0 ve Hava Aracı Montaj Hattında Örnek Uygulama Çalışması",20172018,1,N15216525,"Murat Caner Testik"
114,"Yalın Üretim ve 5S Yönetim Sistemi ",20172018,2,N16211017,"Murat Caner Testik"
115,"Şirket İçi Kablosuz Ağ Kurulumlarında Hata Türleri ve Etkileri Analizi Uygulaması",20172018,2,N16215528,"Murat Caner Testik"
116,"Boru Hattı Çevresi Kaynaklarında Hata Azaltma ve Kritik Mühendislik Değerlendirme Uygulamaları için FMEA",20172018,2,N16212234,"Özlem Müge Testik"
117,"Yazılım Sektöründeki Çevik Proje Ekibinde Döngü Bazlı Tahmin Süreçlerinin İyileştirilmesi",20172018,2,N16211348,"Oumout Chouseinoglou"
118,"Kamu Yazılım Projelerinde Kurum Lokasyonlu Çalışan Yazılımcıların Görüş Analizi",20172018,2,N16213242,"Oumout Chouseinoglou"
119,"Enerji Sektöründeki Bir Şirketin Proje Planlama Süreçlerine Monte Carlo Simülasyonun Uygulanması",20172018,2,N16217946,"Barbaros Yet"
120,"Aviyonik Bir Projede Hata Ağacı Analizi ve Hata Türü ve Etkileri Kritiklik Analizi Uygulamaları",20182019,1,N17137081,"Murat Caner Testik"
121,"Büyük Ölçekli İnşaat Projelerinde Verimliliğe Etki Eden Faktörler ve Verimliliğin Ölçülmesi",20182019,1,N17135790,"Murat Caner Testik"
122,"ISO 29110 Standardı Kullanılarak Küçük ve Orta Ölçekli Şirketlerde Yazılım Süreci Geliştirilmesi",20182019,1,N17133582,"Murat Caner Testik"
123,"Tedarikçi Seçiminde Elde Tutma ve Sipariş Verme Maliyetlerinin Etkisi Üzerine Bir Çalışma",20182019,1,N17113663,"Murat Caner Testik"
124,"Havacılık Projeleri Kapsamında Kullanılacak Olan Bağlantı Elemanlarının Seçimi Konusunda Harcanan Zamanın Minimize Edilmesini Amaçlayan Veritabanı Oluşturulması",20182019,1,N17116388,"Murat Caner Testik"
125,"İstatistiksel Tahmin Yöntemleri: Meyve Suyu Konsantrelerinde Talep Tahmini",20182019,1,N17117591,"Murat Caner Testik"
126,"Savunma Sanayinde Hata Türü Etkileri ve Kritiklik Analizi Uygulamaları",20182019,1,N17133206,"Murat Caner Testik"
127,"Faaliyet Tabanlı Maliyetlendirme Yönteminin Altı Sigma Yaklaşımına Maliyet Ölçüm Aracı Olarak Entegrasyonu",20182019,1,N17138709,"Murat Caner Testik"
128,"Müşteri İlişkileri Yönetiminin (CRM) Entegrasyonu ve Hizmet Kalitesini İyileştirmesi",20182019,1,N17116307,"Murat Caner Testik"
129,"Altı Sigma Yönteminin Enerji Santralında Uygulanması",20182019,1,N17133503,"Murat Caner Testik"
130,"İstanbul Havalimanında Kullanılması Beklenen Buz Giderici ve Önleyici Sıvıların Miktarının Tahmin Edilmesi",20182019,1,N17136814,"Murat Caner Testik"
131,"Titreşim Analizi ile Arıza Tespit Sistemi",20182019,1,N17137468,"Özlem Müge Testik"
132,"Kaizen Yaklaşımı İle Elektronik Kart sistemlerinin İyileştirilmesi",20182019,1,N14312375,"Özlem Müge Testik"
133,"Kurumsal Kaynak Planlama Sisteminde Envanter Maliyeti Optimizasyonu: Bir Vaka Çalışması",20182019,1,N17133460,"Oumout Chouseinoglou"
134,"Birden Çok İş Koluna Sahip Küçük İşletmelerde, Dönemsel İş Geliştirme ve Karar Verme",20182019,1,N17137332,"Oumout Chouseinoglou"
135,"ITIL ve SDLC Kapsamıyla Geliştirilen Bir Yazılım Projesinin DEVOPS’a Geçişi: Bir Vaka Çalışması",20182019,1,N17110982,"Oumout Chouseinoglou"
136,"Uluslararası Operasyonlarda Stratejik Yer Seçimi: Tıbbi Cihaz Sektöründe Bir Bulanık AHP Uygulaması",20182019,1,N17133502,"Oumout Chouseinoglou"
137,"Hızlı Tren Projelerinde Fayda Maliyet Analizi: Bir Vaka Çalışması",20182019,1,N17118787,"Oumout Chouseinoglou"
138,"Ürün Geliştirme Evresinde Prototip Parça Temin Sürelerinin Regresyon Modellemesi ve ERP Sistemlerine Entegrasyonu",20182019,1,N17135782,"Oumout Chouseinoglou"
139,"Savunma Sanayiine Talaşlı İmalat Hizmeti Veren Küçük Ölçekli Bir İşletmede 5S Uygulaması",20212022,2,N20234789,"Volkan SÖNMEZ"
140,"Tanımlayıcı İstatistik, Pareto Prensibi Ve Htea Analizi Kullanılarak Ata-Lb5M Madenci Baş Lambasının Kalite İyileştirme Çalışmaları",20212022,2,N20233685,"Özlem Müge TESTİK"
141," Aviyonik Proje Alt Sistemi Donanımına Fonksiyonel Tehlike Analizi (Fha), Hata Ağacı Analizi (Fta) Ve Hata Türü, Etkileri Ve Kritiklik Analizi (Fmeca) Uygulamaları",20212022,2,N21130692,"Murat Caner TESTİK"
142,"Kurumsal Bir Firmada Altı Sigma-İstatistiksel Proses Kontrolü Uygulamaları İle Üretim Hataları Bulma Üzerine Bir Çalışma",20212022,2,N20232589,"Volkan SÖNMEZ"
143," Otomatik İş Atama Modeline Bağlı Performans Değerlendirme Sistemi",20212022,2,N20238133,"Volkan SÖNMEZ"
144,"Tahribatsız Muayenede Veri Analizi Ve İstatistiksel Proses Kontrol Üzerine Vaka Çalışması",20212022,2,N20235206,"Murat Caner TESTİK"
145,"Otomotiv Yan Sanayii Firmasında Yalın Yöntemleri İle Problem Çözümü Ve Süreç İyileştirmesi",20212022,2,N20239546,"Volkan SÖNMEZ"
146," Bir Üretim İyileştirme Sürecinde Kaizen Uygulaması",20212022,2,N21133735,"Özlem Müge TESTİK"
147," Bir Boyutlu Kesme Problemi İle Kovan Fire Miktarının Azaltılması",20212022,2,N20232700,"Özlem Müge TESTİK"
148,"Savunma Sektöründe Faaliyet Gösteren Bir Firmada Dış Müşteri Memnuniyetinin Analitik Hiyerarşi Yöntemi İle Ölçülmesi",20212022,2,N20231943,"Volkan SÖNMEZ"
149,"Teknik Servis Hizmetlerinde Sahaya Uygun Mühendisin Ahp Yöntemi İle Seçimi",20212022,2,N20232665," Ceren TUNCER ŞAKAR"
150,"Kaynak Kısıtlı Projeleri Sezgisel Yöntemlerle Çizelgeleme",20212022,2,N20234609," Ceren TUNCER ŞAKAR"
151," Çok Kriterli Karar Verme Yöntemleri Ve Ahp Kullanılarak Bir Fabrika İçin Yer Seçimi",20212022,2,N20235747,"Özlem Müge TESTİK"
152,"Elektrikli Pano Üretim Tesislerinde Yalın Üretim Teknikleri Kullanılarak Süreç İyileştirme Çalışmaları",20212022,2,N20234408,"Murat Caner TESTİK"
153,"Kompozit Üretim Hattında Darboğaz Analizi",20212022,2,N20238479,"Volkan SÖNMEZ"
154," İmalat Mühendisliğine İletilen Metarların İncelenmesi Ve Önleyici Aksiyon Alınması Gereken Alanların Belirlenmesi",20212022,2,N20236072,"Murat Caner TESTİK"
155," Yalın Altı Sigma İle  Helikopter Alt Montaj Alanında Verimlilik Artırma Çalışması",20212022,2,N20236572,"Volkan SÖNMEZ"
156,"Analitik Hiyerarşi Süreci Metodu Kullanılarak Fırlatma Koltuğu Ürünü Seçimi",20212022,2,N20238936," Ceren TUNCER ŞAKAR"
157," Birliktelik Analizi Yöntemi İle Ürün Takibi Ve Öneri Sisteminin Geliştirilmesi",20212022,2,N20237107,"Murat Caner TESTİK"
158,"Bisküvi Ve Yarı Mamul Üreten Bir Fabrikanın Stok Ambarının Düzenlenmesi",20212022,2,N20232316," Ceren TUNCER ŞAKAR"
159,"Savunma Sanayisinde Düzeltici Ve Önleyici Faaliyetlerin Etkinliğinin Artırılması Üzerine Bir Uygulama",20212022,2,N20235369,"Volkan SÖNMEZ"
160,"Proje Yönetiminde Bulanık Mantık Teorisinin Kullanımı Üzerine Literatür Taraması",20212022,1,N20131832,"Özlem Müge TESTİK"
161,"Havacılık Ve Savunma Sektöründe İleri Ürün Kalite Planlaması (Apqp) Uygulamasının İncelenmesi",20212022,1,N20135663,"Murat Caner TESTİK"
162,"Rüzgâr Tüneli Testleri Projesinin Performansının Kazanılmış Değer Analizi Yöntemi İle İncelenmesi",20212022,1,N20138639,"Ceren TUNCER ŞAKAR"
163,"Uydularda Kullanılan Ekipmanlar İçin Kütle Ve Maliyet Optimizasyonu",20212022,1,N20138913,"Ceren TUNCER ŞAKAR"
164,"Çimento Sektöründe Portföy Analizi Ve Nbd Yöntemi İle Yatırım Kararı",20212022,1,N20137192,"Ceren TUNCER ŞAKAR"
165,"Uhp Teknoloji Firması Üzerinde Yapılan Yalın Üretim Teknikleri Ve Süreç Analizi Uygulaması ",20212022,1,N20138328,"Özlem Müge TESTİK"
166,"Baz İstasyonu Yer Seçiminin Çok Kriterli Karar Verme Yöntemiyle Belirlenmesi ",20212022,1,N20134763,"Özlem Müge TESTİK"
167,"Ahp Metodu İle R&D Proje Önceliklendirme ",20212022,1,N20130501,"Özlem Müge TESTİK"
168,"Savunma Sanayi Sektöründe Kazanılmış Değer Yöntemi Konusunda Bir Öneri Çalışması",20212022,1,N20131413,"Volkan SÖNMEZ"
169,"Sistem Güvenilirliği Çalışmalarına Yönelik Fmea Ve Fta Uygulamaları Üzerine Havacılık Sektöründe Bir Uygulama",20212022,1,N20137009,"Murat Caner TESTİK"
170,"Analitik Hiyerarşi Prosesi Kullanılarak Hava Aracı Burun İniş Takımı Tasarımı Seçimi",20212022,1,N20133448,"Ceren TUNCER ŞAKAR"
171,"Konfeksiyon Fabrikalarinda Süreç İyileştirme",20212022,1,N20132883,"Murat Caner TESTİK"
172,"Yalın Üretimde İsraf Felsefesi Ve Bir Tekstil Etiket Üreticisinde Yapılan Kaızen Analizi",20212022,1,N20134983,"Ceren TUNCER ŞAKAR"
173,"Yalın Üretim Teknikleri Ve Pompa Üretim Sektöründeki Uygulamaları",20212022,1,N20138252,"Volkan SÖNMEZ"
174,"Beyaz Eşya Sektöründe Süreç İyileştirme Uygulaması: Plazma Prosesi",20212022,1,N20133313,"Ceren TUNCER ŞAKAR"
175,"Savunma SektörüNde Faaliyet Gösteren Bir Firmada İç MüŞteri Memnuniyeti ÖlçüMü",20212022,1,N20137890,"Murat Caner TESTİK"
176,"5’İnci Nesil Savaş Uçağı Projeleri İçin Geliştirilebilecek Alternatif Teknolojilerin Harekât Ortamına Etkileri Açısından Önceliklendirilmesi",20212022,1,N20131809,"Özlem Müge TESTİK"
177,"Kırsal Bölelerde Yer Alan Elektrik Dağıtım Şebekelerinde Olabilecek Kesintilerde Yeniden Enerji Sağlayan Cihazlarının Optimum Noktalarının Belirlenmesi",20212022,1,N20134528,"Ceren TUNCER ŞAKAR"
178,"Savunma Sanayi Talaşlı İmalat Ürün Grubunda Ekonomik Sipariş Miktarı Modellemesi",20212022,1,N20135563,"Ceren TUNCER ŞAKAR"
179,"Elektronik Komponent Alımlarında Ahp Yöntemi Kullanılarak Tedarikçi Seçimi",20212022,1,N20137709,"Ceren TUNCER ŞAKAR"
180,"Havacılık Sektöründe Montaj Hattı Gözlemleme Ve Hat Dengeleme Çalışmaları",20212022,1,N20131234,"Murat Caner TESTİK"
181,"Kazanılmış Değer Analizi İle Proje Performansının Değerlendirilmesi",20212022,1,N20133049,"Ceren TUNCER ŞAKAR"
182,"Yüzey Pürüzlülüğünün Taguchı Deney Tasarımıyla Optimizasyonu",20212022,1,N20135642,"Volkan SÖNMEZ"
183,"Uçak Bakım Faaliyetlerinde İnsan Faktörü Kaynaklı Hata Türleri Etki Analizi",20212022,1,N20138087,"Murat Caner TESTİK"
184,"Yalın Uygulamaları Kullanılarak Metal Parça Üretiminde İsrafların Giderilmesi",20212022,1,N20139530,"Volkan SÖNMEZ"
185,"Q-Flex İvme Ölçer Performans Sonuçlarının Analizleri Ve Hipotez Testleri İle Karşılaştırılması",20212022,1,N20134709,"Murat Caner TESTİK"
186,"Uçak Yağ Sisteminde Güvenilebilirlik Analizi Ve  Önleyici Bakım Planlama Uygulaması",20212022,1,N20136590,"Volkan SÖNMEZ"
